email2,first_name,last_name,id
michael.lawson@reqres.in,Michael,Lawson,1
lindsay.ferguson@reqres.in,Lindsay,Ferguson,2
tobias.funke@reqres.in,Tobias,Funke,
byron.fields@reqres.in,Byron,Fields,
george.edwards@reqres.in,George,Edwards,
rachel.howell@reqres.in,Rachel,Howell,
michael.lawson@reqres.in,Michael,Lawson,
lindsay.ferguson@reqres.in,Lindsay,Ferguson,
tobias.funke@reqres.in,Tobias,Funke,
byron.fields@reqres.in,Byron,Fields,
george.edwards@reqres.in,George,Edwards,
rachel.howell@reqres.in,Rachel,Howell,
